CSA,Czech Airlines a.s.
9AU,AIDA
3SY,Lanica
7KD,Military - Philippine Air Force
5UQ,Eagle Aviation
9MV,Lineas Aereas del Estado
2EZ,U.S. Overseas Airways
0PM,Sahsa Airlines
4HR,Lebanese International Airways
2RD,Transportes Aereos Mexicanos
6JI,Bristol Aeroplane Co.
0BN,Aquilla Airways
8MA,Straits Air Freight Express
2EE,Northern Wings
5WJ,TAM (Bolivia)
4GW,Military - U.S.  Air Force / Military - U.S. Navy
7YA,Réseau Aérien Interinsulaire
5JN,Silver City Airways
9BS,Military - U.S. Marine Corps/Military - U.S. Marine Corps
3TX,Military - U.S. Air Force/Military - U.S. Air Force
1DJ,Transportes Aereos Orientales
5VO,AREA
8NT,United Air Lines / Military - U.S. Air Force
7YF,Capital Airlines / Military - Air National Guard
0QK,Dan-Air Services
8AX,Paraense Transportes Aéreos
2SC,All Nippon Airways
6LG,Independent Air Travel
4VT,Middle East Airlines
8NY,Yemen Airlines
1FC,ARTOP Aerotopografica LDA
0PP,Capitol Airways
3IU,Southeast Airlines
2SG,California Air Freight
5KL,Austral Lineas Aeras (Argentina)
9CQ,Linea Expresa Bolivar
7ND,Air Jordan
1FH,Dwyer Flying Service - Private Charter
4XM,Turkish Airlines (THY)
3HZ,Southern Cross Airways
6ZE,Austria-Flugdienst
5KQ,Transportes Aereos Peruanas
8CV,Lineas Aéreas Interpolar
2UA,Aerolineas Nacionales
0EM,Transair
4WR,T.A. Intercontinentaux (France)
7OW,Reeve Aleutian Airlines
6ZJ,OlympiAirways
9RN,Piedmont Airlines
8BA,Wheeler Airlines
1TF,Allegheny Airlines
5LJ,California Aircraft
3WW,Transportes Aéreos de Timor
7OB,REAL / Military - U.S. Navy
0GG,SAMSA
9QS,Lloyd Aereo Colombiano
2IX,Piedmont Airlines / Private
1TK,Sobelair SA (Belgium)
4LO,Balair
8DT,Transamerican Air Transport
6NG,PacifiNorthern Airlines
0FL,Gulf Aviation (Kalinga Airways)
3YP,Ethiopian Airlines
2IC,Military - Royal Belgian Air Force
5AH,Chicago Helicopter Airways
4KT,Deutsche Flugdienst
7CY,Military - French Naval Aviation
1VD,Don Everall Aviation
9FP,Austrian Airlines
3XU,United Arab Airlines
6PZ,Itavia
5AM,ArctiPacific
8SQ,Royal Nepal Airlines
7CD,Military - Argentine Air Force
0UI,Finnair
4MN,Continentale Deutsche Luftreederei
2XZ,Transcontinental
6PE,Malev Hungarian Airlines
9HJ,Cunard Eagle Airways
8RV,Air America
1JA,Eastern Provincial Airways
0UN,President Airlines
3MS,United Nations Organization
7EW,Derby Aviation
5OJ,Bristol 170 Freighter 31M
9GO,Air Haiti International
2YS,Military - Força Aérea Portuguesa
1JF,Military - Belgian Air Force
4BK,Kodiak Airways
3LW,Corporacion Boliviano de Fomento
6DB,Avianca
0VG,Caledonian Airways
8GT,Societa Aerea Mediterranea
2YX,Military - French Air Force
5QC,Military - Colombian Air Force
4AP,AVISPA
7SU,East Anglian Flying Services
6DG,Military - Union of Burma Air Force
9VL,East Provincial Airways
